steamid,avatarhash,personaname,profileurl,timecreated,lastlogoff,loccountrycode,steam_game_id,name,last_played_timestamp,playtime_forever,img_icon_url,playtime_2weeks,total_game_acheivements,total_game_acheivements_unlocked
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,601150,Devil May Cry 5,2025-05-15 20:30:18,381,7ec2f6fb9069c3ae03af7e83610862090cd757bb,,55,5
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1593500,God of War,2024-09-29 13:59:14,2717,8aa5e7e0e55cad682c7f2e65e075c3bc04dfc1cb,,37,21
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,2074920,The First Descendant,2024-07-08 20:51:15,32,a07ab51050a8e03993b1860ae929da51287f283b,,24,1
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,232090,Killing Floor 2,2025-01-16 20:54:09,223,15837cefb378766e9916548f8591b6eb490b9e52,,307,6
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,2050650,Resident Evil 4,2025-06-16 23:12:07,1562,817358b8013c55831ea10d031ef9c0b151110826,,46,19
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,2221490,Tom Clancy's The Division 2,2025-03-15 20:19:19,5045,415d18aa79e74e33b58406d721110e6ef836fb14,,67,30
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1110910,Mortal Shell,2024-09-21 12:26:47,8,93aec806d86b09186b9f0258ec25b606dfea7d96,,37,0
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1501750,Lords of the Fallen,2024-03-23 16:45:20,1266,f2e5d49aab202dc9b12b6bfca1d9cf96bd2ab097,,72,11
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,221040,Resident Evil 6,2024-12-14 01:00:36,88,0a0832a59b6c0a4ffa995b0343892729fe61ec1b,,70,1
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,1245620,ELDEN RING,2025-07-13 17:25:30,8008,b6e290dd5a92ce98f89089a207733c70c41a1871,73.0,42,35
76561199490364483,97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d,@FSN,https://steamcommunity.com/profiles/76561199490364483/,2023-03-28 21:38:09,2025-07-16 10:58:26,BR,2358720,Black Myth: Wukong,2025-02-02 17:40:19,3575,764ad8ff458f7020d63a3f7f0abf6ad8882c05df,,81,62
